0,Station Name,Station No.,Station ID,Station Type,Station Easting,Station Northing
180,Killilan,234252,37368,Flow,193875.0007,830553.0003
181,Killin,14933,36616,Flow,256401.0007,731994.9999
182,Kilphedir,234253,37374,Flow,299848.0008,918206.0006
183,Kilwinning,133101,36128,Flow,230685.0007,642408.9994
184,Kinbuck,14890,36470,Flow,279225.0008,705376.0004
185,Kindrogan,14955,36692,Flow,305619.0008,763025.9999
186,Kingledores,14972,36756,Flow,310875.0008,628540.9996
187,Kinkell Bridge,14968,36738,Flow,293313.0007,716652.0001
188,Kinlochewe Lodge,471362,38066,Flow,203430.0007,861926.0004
189,Kinrara,234257,37384,Flow,288166.0008,808237.0005
190,Kinross,14903,36506,Flow,311809.0008,701570.0001
191,Kirkmuirhill,133102,36132,Flow,280979.0008,642909.9997
192,Kirkton Mill,14923,36578,Flow,365466.0008,749432.9995
193,Ladyflat Farm,368486,37934,Flow,376908.0009,651507.0002
194,Lagganbeg,396186,38018,Flow,242700.0007,687149.9998
195,Langholm A,133103,36136,Flow,250770.0007,621755.0002
196,Langholm Bridge,506155,38222,Flow,336340.0008,584663.0002
197,Langwell Lodge,354621,37844,Flow,216731.0006,902603.9997
198,Lathro,14902,36500,Flow,311503.0008,704113.0003
199,Laxdale,356217,37870,Flow,109930.0006,897079.9999
200,Laxford Bridge,234260,37388,Flow,225146.0007,946531.9997
201,Lennox Castle,133104,36140,Flow,261519.0007,678594.9994
202,Lennoxlove,14874,36420,Flow,351108.0008,671699.0002
203,Letham,133105,36144,Flow,256785.0008,654929.0003
204,Liberton,14876,36424,Flow,327249.0008,670780.9999
205,Limmerhaugh,542772,38394,Flow,261872.0008,626954.0002
206,Lindean,14990,36810,Flow,348637.0008,631546.9995
207,Linnbrane,133107,36152,Flow,239409.0007,680307.0001
208,Little Assynt,234264,37396,Flow,214712.0007,924949.0003
209,Littlemill,234265,37402,Flow,332248.0008,795484.9997
210,Loakmill No 2,474477,38090,Flow,307247.0008,734321.0003
211,Loch Ailsh Level,354613,37838,Flow,231577.0007,910138.0006
212,Loch Beannacharain,473090,38074,Flow,222881.0007,851822.0004
213,Loch Dee Outlet,133163,36334,Flow,247811.0007,579675
214,Loch Leven Sluices,477620,38098,Flow,317210.0008,699328.9997
215,Logie Bridge,567430,38448,Flow,296010.0007,846250.0002
216,Logie Mill,14927,36596,Flow,369940.0008,764028.9999
217,Low Malzie,133167,36338,Flow,238212.0007,554495.9996
218,Lower Monachyle,116006,35956,Flow,247480.0007,723011.0004
219,Luffness,14865,36390,Flow,348865.0008,681117.0002
220,Luncarty,14940,36638,Flow,309050.0008,731179.0003
221,Luss,133108,36156,Flow,235635.0007,692880
222,Luther Bridge,14928,36600,Flow,365893.0008,767044.9999
223,Lyne Ford,14973,36760,Flow,320603.0008,639736.9996
224,Lyne Station,14974,36764,Flow,320921.0008,640028.0003
225,Maidencots,133110,36160,Flow,293046.0008,625976.9997
226,Mainholm,133111,36164,Flow,236179.0007,621633.9996
227,Mar Lodge,234274,37414,Flow,309788.0007,789521.9996
228,Marble Lodge,14959,36706,Flow,289227.0007,771575
229,Mill Bank,14945,36646,Flow,318095.0008,740022.9997
230,Mill Croft,354623,37856,Flow,76701.00066,834767.9995
231,Mill of Keithfield,368494,37958,Flow,383981.0008,833930.0005
232,Mill of Tore,234277,37418,Flow,245044.0008,829976.0004
233,Milliken Park,133112,36168,Flow,241123.0007,662023.9995
234,Milngavie,133113,36172,Flow,255850.0007,673558.9995
235,Milton,14907,36520,Flow,250348.0007,701340.9996
236,Milton of Campsie,133114,36176,Flow,265646.0007,676198
237,Minmore,234279,37422,Flow,320160.0008,829003.0004
238,Minnoch Bridge,133168,36342,Flow,236287.0007,574599.9994
239,Monyquil Farm,133115,36180,Flow,193779.0007,634919.0004
240,Mossknowe,133169,36346,Flow,328502.0008,569267.9997
241,Mouthbridge,15022,36874,Flow,382582.0008,653012.0003
242,Moy Bridge,234284,37426,Flow,248129.0008,854675.0005
243,Muiresk,234286,37430,Flow,370551.0008,849833.0005
244,Murray Burn,372859,37992,Flow,317733.0008,669648.9995
245,Murrayfield,14868,36400,Flow,322792.0008,673202.0003
246,Murton,335650,37700,Flow,349602.0008,751299.9998
247,Musselburgh,635,38484,Flow,333828.0008,672336.9999
248,Ness-side,234287,37434,Flow,264507.0007,842726.0004
249,New Kelso,234289,37438,Flow,194186.0006,842884.9998
250,Newcastleton,133170,36350,Flow,348309.0008,587209.9996
251,Newhall Bridge,234290,37444,Flow,270225.0007,865186.9998
252,Newliston,14882,36438,Flow,311393.0007,673123.9998
253,Newmilns,133117,36186,Flow,253252.0007,637187.9999
254,Newton Bridge,14953,36684,Flow,289228.0008,731341.0005
