0,Station Name,Station No.,Station ID,Station Type,Station Easting,Station Northing
263,Loch Flemington,234267,37406,Level,280800.0008,851999.9997
264,Loch Leven Sluices,477620,38098,Level,317210.0008,699328.9997
265,Loch Maree,473675,38086,Level,194514.0006,869637.9999
266,Loch Naver,234268,37410,Level,259986.0007,935496.0005
267,Loch Tormasad,354622,37850,Level,82187.00066,864894
268,Loch Vaa,579464,38468,Level,291258.0008,817614.0001
269,Lochindorb Level,115371,35684,Level,297054.0008,835474.9998
270,Lochwinnoch,509677,38240,Level,235886.0007,658129.9995
271,Logie Bridge,567430,38448,Level,296010.0007,846250.0002
272,Logie Mill,14927,36596,Level,369940.0008,764028.9999
273,Low Malzie,133167,36338,Level,238212.0007,554495.9996
274,Lower Monachyle,116006,35956,Level,247480.0007,723011.0004
275,Luffness,14865,36390,Level,348865.0008,681117.0002
276,Luncarty,14940,36638,Level,309050.0008,731179.0003
277,Luss,133108,36156,Level,235635.0007,692880
278,Luther Bridge,14928,36600,Level,365893.0008,767044.9999
279,Lyne Ford,14973,36760,Level,320603.0008,639736.9996
280,Lyne Station,14974,36764,Level,320921.0008,640028.0003
281,Maidencots,133110,36160,Level,293046.0008,625976.9997
282,Mainholm,133111,36164,Level,236179.0007,621633.9996
283,Mar Lodge,234274,37414,Level,309788.0007,789521.9996
284,Marble Lodge,14959,36706,Level,289227.0007,771575
285,March Street,14976,36774,Level,325185.0008,640842.9995
286,Meikle Kinord,356327,37880,Level,344246.0008,798959.9997
287,Meikleholm Bridge,504722,38206,Level,307397.0008,608539.0003
288,Mill Bank,14945,36646,Level,318095.0008,740022.9997
289,Mill Croft,354623,37856,Level,76701.00066,834767.9995
290,Mill of Keithfield,368494,37958,Level,383981.0008,833930.0005
291,Mill of Tore,234277,37418,Level,245044.0008,829976.0004
292,Milliken Park,133112,36168,Level,241123.0007,662023.9995
293,Milngavie,133113,36172,Level,255850.0007,673558.9995
294,Milton,14907,36520,Level,250348.0007,701340.9996
295,Milton of Campsie,133114,36176,Level,265646.0007,676198
296,Minmore,234279,37422,Level,320160.0008,829003.0004
297,Minnoch Bridge,133168,36342,Level,236287.0007,574599.9994
298,Moar,14949,36664,Level,253328.0007,744867.9997
299,Monyquil Farm,133115,36180,Level,193779.0007,634919.0004
300,Mossknowe,133169,36346,Level,328502.0008,569267.9997
301,Mouthbridge,15022,36874,Level,382582.0008,653012.0003
302,Moy Bridge,234284,37426,Level,248129.0008,854675.0005
303,Muiresk,234286,37430,Level,370551.0008,849833.0005
304,Murray Burn,372859,37992,Level,317733.0008,669648.9995
305,Murrayfield,14868,36400,Level,322792.0008,673202.0003
306,Murton,335650,37700,Level,349602.0008,751299.9998
307,Musselburgh,635,38484,Level,333828.0008,672336.9999
