0,Station Name,Station No.,Station ID,Station Type,Station Easting,Station Northing
246,Lyne Station,14974,36764,Rain,320921.0008,640028.0003
247,Meadowfoot,115616,35876,Rain,286129.0008,613852.9996
248,Meikle Tombane,15066,36916,Rain,294800.0007,740200.0002
249,Merton Bank Lochmaben,115617,35880,Rain,308302.0007,583232.9997
250,Mill Croft,354623,37856,Rain,76701.00066,834767.9995
251,Mill Of Gavel,205209,37120,Rain,399554.0009,851724.0002
252,Millport,115618,35884,Rain,217620.0007,654515.9998
253,Milton of Abercairny,15080,36932,Rain,290176.0008,723232.0005
254,Milton of Evelix TBR,494729,38162,Rain,276541.0008,890999.0002
255,Minnigaff,338429,37792,Rain,241840.0007,565489.9997
256,Moar,14949,36664,Rain,253328.0007,744867.9997
257,Mongour,115235,35564,Rain,376494.0008,790160.0003
258,Montrose,15078,36928,Rain,370021.0008,756482.0001
259,Monyquil Farm,133115,36180,Rain,193779.0007,634919.0004
260,Morebattle - The Steading,557502,38424,Rain,376612.0008,624423.9999
261,Mouthbridge,15022,36874,Rain,382582.0008,653012.0003
262,Mugdock Country Park,115621,35888,Rain,254618.0007,677930.9995
263,Muir of Ord No 2,115380,35696,Rain,252632.0007,850055.9999
264,Muirkirk STW,115622,35892,Rain,267706.0007,626397.0002
265,Muirshiel RG,490986,38130,Rain,228398.0007,665177.9995
266,Mulben,115236,35568,Rain,334148.0008,848839.9998
267,Murray Burn,372859,37992,Rain,317733.0008,669648.9995
268,Murton,335650,37700,Rain,349602.0008,751299.9998
269,Mylnefield,335651,37706,Rain,333800.0008,730300.0002
270,Nairn Dunbar Golf Course,341224,37796,Rain,289950.0007,857500.0006
271,Nether Borlum,335803,37718,Rain,319700.0008,842220.0005
272,New Kelso,234289,37438,Rain,194186.0006,842884.9998
273,Newton of Falkland,15083,36936,Rain,326600.0008,707500.0003
274,Newtonairds,115627,35896,Rain,288891.0008,579935.0001
275,Newtown Sewage Works,15118,36976,Rain,358322.0008,631711.9996
276,Nigg Headworks,335797,37714,Rain,396400.0009,804499.9999
277,North Berwick (Kingston),335621,37688,Rain,354340.0008,682309.9999
278,North Voxter,336228,37738,Rain,443600.0008,1128440.001
279,Nunraw Abbey,15215,37100,Rain,359258.0008,670057
280,Old Mill of Newton,367364,37914,Rain,365383.0008,829873.0006
281,Old Town Ardgay,115385,35700,Rain,259550.0007,889599.9996
282,Ord,335978,37726,Rain,161800.0006,813499.9997
283,Ormiston Mill,15007,36848,Rain,370232.0008,628013.9994
284,Penwhapple Reservoir,335375,37652,Rain,225370.0007,596959.9994
285,Perth Norwich Union,341345,37814,Rain,309700.0007,722499.9997
286,Picketlaw Reservoir,115632,35900,Rain,256826.0007,651549.9998
287,Pluscarden Abbey,486057,38110,Rain,314443.0008,857510.0004
288,Polhollick,234294,37460,Rain,334395.0008,796530.9998
289,Polloch,234295,37466,Rain,179208.0006,768811.9996
290,Polmonthill STW,15187,37056,Rain,295304.0007,679587.0003
291,Port Henderson,335977,37722,Rain,175000.0007,873600.0001
292,Port William,115633,35904,Rain,233910.0007,543938.0003
293,Portling,115634,35908,Rain,288143.0007,554301.9996
294,Portmoak,15149,37012,Rain,317269.0008,700777.0001
295,Prestonpans (Burnside),15213,37092,Rain,339000.0008,674400.0003
296,Prestwick,344764,37826,Rain,235201.0007,626594.0002
297,Quarry Head,335575,37660,Rain,398550.0008,860523.0005
298,Quidnish,115387,35704,Rain,108990.0006,887250.0004
299,Quinloch Farm,115638,35912,Rain,251861.0007,681998.0004
300,Rawburn Filters,15128,36996,Rain,367774.0008,656369.0004
301,Resallach,455747,38030,Rain,222200.0007,912200.0002
302,Rest and be Thankful,485490,38106,Rain,222835.0007,706966.9999
303,Rhian Bridge,115390,35708,Rain,256400.0007,916599.9999
304,Rhiconich,336217,37734,Rain,225403.0007,952002.9998
305,RhynieGS,368013,37926,Rain,350190.0008,827102.9996
306,Ross Priory,133124,36206,Rain,240827.0007,687362.9995
307,Rossie Farm,15070,36924,Rain,325668.0008,712504.9994
308,Rothienorman,115239,35572,Rain,372054.0009,835498.0005
309,Saline,15155,37020,Rain,301500.0008,693300.0003
310,Samuelston,15223,37108,Rain,348600.0008,671099.9994
311,Saughall,115645,35916,Rain,259822.0007,636401.9994
312,Scardroy No3,347562,37834,Rain,221271.0007,851572.0003
313,Scotsmill 3,115240,35576,Rain,361057.0008,865457.0004
314,Seilich dam,574971,38456,Rain,276356.0007,788226.0001
315,Selkirk (Toft House),15113,36964,Rain,346730.0008,628422.9997
316,Sgodachail,234305,37488,Rain,249119.0007,892160.0003
317,Shielsknowe,337108,37780,Rain,,
318,Shotts WWTW,494255,38148,Rain,286550.0008,659339.9995
319,Slamannan,464630,38050,Rain,285660.0008,673627.9998
320,Sluggan,234314,37510,Rain,286980.0408,821930.9902
321,Solwaybank,115647,35920,Rain,330717.0008,577412.9997
322,Sorbie,115648,35924,Rain,244103.0007,546881.9994
323,South Drumdowie No 2,15098,36944,Rain,286406.0008,713508.0001
324,South Moorhouse,115649,35928,Rain,252516.0008,651293.0005
325,Spey Dam,234315,37514,Rain,258224.0007,793545.9996
326,Spott (Halls),15214,37096,Rain,365200.0008,672799.9998
327,St Monance,335620,37684,Rain,351540.001,701629.9995
328,Stewarton,536844,38370,Rain,246523.0007,650711.9994
329,Stonyford,369551,37978,Rain,350570.0008,772593.0001
330,Strathclyde Park,115651,35932,Rain,271604.0007,658417.9995
331,Strathkelvin House,300383,37566,Rain,264400.0007,674349.9997
332,Strathkinness,11368,35504,Rain,346679.0008,715778.9999
333,Strathy Bridge,234319,37524,Rain,283584.0007,965144.9998
334,Strathyre,15172,37048,Rain,256061.0007,716676.0005
335,Strowan,361047,37892,Rain,281430.0007,721309.9998
336,Swanston Raingauge,51893,38294,Rain,324250.0008,668129.9999
337,Swinton,15125,36984,Rain,383345.0008,647280.0002
338,Tarland WWTP,511327,38246,Rain,348548.0008,804113.0003
339,The Lecht,115244,35580,Rain,324600.0008,813049.9999
340,Tillicoultry,15158,37024,Rain,291638.1248,696497.7699
341,Tobermory,115654,35936,Rain,149765.0006,755049.9999
342,Toldrie,337079,37776,Rain,358270.0008,708440
343,Tomatin No2,564863,38440,Rain,278910.0008,829308.9998
344,Torduff,15190,37060,Rain,320858.0008,667801
345,Torhouse Mill,115655,35940,Rain,239948.0007,555303.9993
346,Torridon,115404,35712,Rain,190226.7307,855889.4906
347,Torwinny,234326,37538,Rain,313442.0007,848903.0002
348,Townfoot (Glencaple),323188,37616,Rain,299720.0007,567809.9993
349,Tromie Bridge,234327,37542,Rain,278926.0008,799628.9998
350,Tulchan,115247,35584,Rain,313332.6608,835230.4497
351,Unthank Raingauge,506152,38214,Rain,338800.0008,594714.9995
352,Upper Black Laggan,115657,35944,Rain,247616.0007,576884.9995
353,Upper Monachyle,116007,35960,Rain,248018.0007,724996.0003
354,Urquhart,115406,35716,Rain,258180.0007,858479.9999
355,Victoria Lodge,15101,36952,Rain,310716.0008,622991
356,Wardend Bridge,234331,37552,Rain,303930.0007,855845.0002
357,Waterside Perth,369554,37982,Rain,350104.0008,778961.0002
358,Waulkmill Glen,115660,35948,Rain,252542.0007,658235
359,Weisdale Mill,116008,35966,Rain,439470.0008,1153000
360,West Sandwick Yell,115409,35720,Rain,445080.0008,1189455.001
361,Westhall,15049,36888,Rain,333145.0008,714815.0004
362,Westhill,115250,35588,Rain,382431.0008,806336.0005
363,Westwood Farm Lane,15169,37044,Rain,274972.0008,694753
364,Whitburn,14881,36432,Rain,294792.0008,665548.0003
365,White Clauchrie,502874,38188,Rain,229459.0007,586266.0004
366,Wolfhill,15067,36920,Rain,315700.0008,733399.9998
